  k   q  MA Coeff.
  2  -2      +2.72
  2  -1          0
  2  +0     -37.38
  2  +1          0
  2  +2      +2.72
  4  -4      +0.27
  4  -3          0
  4  -2      +0.19
  4  -1          0
  4  +0      -0.08
  4  +1          0
  4  +2      +0.19
  4  +3          0
  4  +4      +0.27
  6  -6      +0.02
  6  -5          0
  6  -4      +0.03
  6  -3          0
  6  -2      -0.36
  6  -1          0
  6  +0      -0.52
  6  +1          0
  6  +2      -0.36
  6  +3          0
  6  +4      +0.03
  6  +5          0
  6  +6      +0.02
