  k   q  MA Const.
  2  -2          0
  2  -1          0
  2  +0     +41.22
  2  +1          0
  2  +2      -0.84
  4  -4          0
  4  -3          0
  4  -2          0
  4  -1          0
  4  +0     -12.71
  4  +1          0
  4  +2     +10.24
  4  +3          0
  4  +4      +0.44
  6  -6          0
  6  -5          0
  6  -4          0
  6  -3          0
  6  -2          0
  6  -1          0
  6  +0      +7.58
  6  +1          0
  6  +2      -7.66
  6  +3          0
  6  +4      -0.23
  6  +5          0
  6  +6      +0.02
