  k   q  MA Coeff.
  2  -2          0
  2  -1          0
  2  +0     +86.38
  2  +1          0
  2  +2          0
  4  -4      +0.12
  4  -3          0
  4  -2          0
  4  -1          0
  4  +0      -0.33
  4  +1          0
  4  +2          0
  4  +3          0
  4  +4      +0.12
  6  -6          0
  6  -5          0
  6  -4      +0.13
  6  -3          0
  6  -2          0
  6  -1          0
  6  +0      -0.22
  6  +1          0
  6  +2          0
  6  +3          0
  6  +4      +0.13
  6  +5          0
  6  +6          0
