  k   q  MA Const.
  2  -2          0
  2  -1          0
  2  +0     -78.02
  2  +1          0
  2  +2          0
  4  -4          0
  4  -3          0
  4  -2          0
  4  -1          0
  4  +0      -6.43
  4  +1          0
  4  +2          0
  4  +3          0
  4  +4      +1.07
  6  -6          0
  6  -5          0
  6  -4          0
  6  -3          0
  6  -2          0
  6  -1          0
  6  +0      +3.19
  6  +1          0
  6  +2          0
  6  +3          0
  6  +4      -1.05
  6  +5          0
  6  +6          0
